# From RFC 1345

include 646-inv.txt

0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x40	0x00e0	# LATIN SMALL LETTER A WITH GRAVE
0x5B	0x00e2	# LATIN SMALL LETTER A WITH CIRCUMFLEX
0x5C	0x00e7	# LATIN SMALL LETTER C WITH CEDILLA
0x5D	0x00ea	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0x5E	0x00c9	# LATIN CAPITAL LETTER E WITH ACUTE
0x60	0x00f4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0x7B	0x00e9	# LATIN SMALL LETTER E WITH ACUTE
0x7C	0x00f9	# LATIN SMALL LETTER U WITH GRAVE
0x7D	0x00e8	# LATIN SMALL LETTER E WITH GRAVE
0x7E	0x00fb	# LATIN SMALL LETTER U WITH CIRCUMFLEX
