# From http://mauriziomanetti.it/charset/codepages.php?codepage=iso-646-ie

include 646-inv.txt

0x23	0x00a3	# POUND SIGN
0x24	0x0024	# DOLLAR SIGN
0x40	0x00D3	# LATIN CAPITAL LETTER O WITH ACUTE
0x5B	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0x5C	0x00CD	# LATIN CAPITAL LETTER I WITH ACUTE
0x5D	0x00DA	# LATIN CAPITAL LETTER U WITH ACUTE
0x5E	0x00C1	# LATIN CAPITAL LETTER A WITH ACUTE
0x60	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0x7B	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0x7C	0x00ED	# LATIN SMALL LETTER I WITH ACUTE
0x7D	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0x7E	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
