# From http://mauriziomanetti.it/charset/codepages.php?codepage=iso-646-is

include 646-inv.txt

0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x40	0x00D0	# LATIN CAPITAL LETTER ETH
0x5B	0x00DE	# LATIN CAPITAL LETTER THORN
0x5C	0x005C	# REVERSE SOLIDUS
0x5D	0x00C6	# LATIN CAPITAL LETTER AE
0x5E	0x00D6	# LATIN CAPITAL LETTER O WITH DIARESIS
0x60	0x00F0	# LATIN SMALL LETTER ETH
0x7B	0x00FE	# LATIN SMALL LETTER THORN
0x7C	0x007C	# VERTICAL LINE
0x7D	0x00E6	# LATIN SMALL LETTER AE
0x7E	0x00F6	# LATIN SMALL LETTER O WITH DIARESIS
