# From http://mauriziomanetti.it/charset/codepages.php?codepage=iso-646-mt

include 646-inv.txt

0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x40	0x0040	# COMMERCIAL AT
0x5B	0x0121	# LATIN SMALL LETTER G WITH DOT ABOVE
0x5C	0x017C	# LATIN SMALL LETTER Z WITH DOT ABOVE
0x5D	0x0127	# LATIN SMALL LETTER H WITH STROKE
0x5E	0x005E	# CIRCUMFLEX ACCENT
0x60	0x010B	# LATIN SMALL LETTER C WITH DOT ABOVE
0x7B	0x0120	# LATIN CAPITAL LETTER G WITH DOT ABOVE
0x7C	0x017B	# LATIN CAPITAL LETTER Z WITH DOT ABOVE
0x7D	0x0126	# LATIN CAPITAL LETTER H WITH STROKE
0x7E	0x010A	# LATIN CAPITAL LETTER C WITH DOT ABOVE
