# From RFC 1345

include 646-inv.txt

0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x40	0x017d	# LATIN CAPITAL LETTER Z WITH CARON
0x5B	0x0160	# LATIN CAPITAL LETTER S WITH CARON
0x5C	0x0110	# LATIN CAPITAL LETTER D WITH STROKE
0x5D	0x0106	# LATIN CAPITAL LETTER C WITH ACUTE
0x5E	0x010c	# LATIN CAPITAL LETTER C WITH CARON
0x60	0x017e	# LATIN SMALL LETTER Z WITH CARON
0x7B	0x0161	# LATIN SMALL LETTER S WITH CARON
0x7C	0x0111	# LATIN SMALL LETTER D WITH STROKE
0x7D	0x0107	# LATIN SMALL LETTER C WITH ACUTE
0x7E	0x010d	# LATIN SMALL LETTER C WITH CARON
