#
# JIS X 0201-1976 kana set
#

0x21 0xFF61
0x22 0xFF62
0x23 0xFF63
0x24 0xFF64
0x25 0xFF65
0x26 0xFF66
0x27 0xFF67
0x28 0xFF68
0x29 0xFF69
0x2A 0xFF6A
0x2B 0xFF6B
0x2C 0xFF6C
0x2D 0xFF6D
0x2E 0xFF6E
0x2F 0xFF6F
0x30 0xFF70
0x31 0xFF71
0x32 0xFF72
0x33 0xFF73
0x34 0xFF74
0x35 0xFF75
0x36 0xFF76
0x37 0xFF77
0x38 0xFF78
0x39 0xFF79
0x3A 0xFF7A
0x3B 0xFF7B
0x3C 0xFF7C
0x3D 0xFF7D
0x3E 0xFF7E
0x3F 0xFF7F
0x40 0xFF80
0x41 0xFF81
0x42 0xFF82
0x43 0xFF83
0x44 0xFF84
0x45 0xFF85
0x46 0xFF86
0x47 0xFF87
0x48 0xFF88
0x49 0xFF89
0x4A 0xFF8A
0x4B 0xFF8B
0x4C 0xFF8C
0x4D 0xFF8D
0x4E 0xFF8E
0x4F 0xFF8F
0x50 0xFF90
0x51 0xFF91
0x52 0xFF92
0x53 0xFF93
0x54 0xFF94
0x55 0xFF95
0x56 0xFF96
0x57 0xFF97
0x58 0xFF98
0x59 0xFF99
0x5A 0xFF9A
0x5B 0xFF9B
0x5C 0xFF9C
0x5D 0xFF9D
0x5E 0xFF9E
0x5F 0xFF9F

